Accession,Description,Coverage [%],# Peptides,# PSMs,# AAs,Abundances (Grouped): NASA Ftl 126,Abundances (Grouped): NASA Ftl 127N,Abundances (Grouped): NASA Ftl 127C,Abundances (Grouped): NASA Ftl 128N,Abundances (Grouped): NASA Ftl 128C,Abundances (Grouped): NASA Ftl 129N,Abundances (Grouped): NASA Ftl 129C,Abundances (Grouped): BA Pool Ftl 130N,Abundances (Grouped): Ftl Pool 130C,Abundances (Grouped): Pool Ftl 131,Abundances (Grouped): NASA GC 126,Abundances (Grouped): NASA GC 127N,Abundances (Grouped): NASA GC 127C,Abundances (Grouped): NASA GC 128N,Abundances (Grouped): NASA GC 128C,Abundances (Grouped): NASA GC 129N,Abundances (Grouped): NASA GC 129C,Abundances (Grouped): BA Pool GC 130N,Abundances (Grouped): GC Pool 130C,Abundances (Grouped): Pool GC 131
O95757,Heat shock 70 kDa protein 4L OS=Homo sapiens OX=9606 GN=HSPA4L PE=1 SV=3,13,8,20,839,28.8,18.1,29.0,33.6,26.1,26.1,26.8,26.1,22.6,26.7,38.1,31.0,47.7,36.5,38.2,35.8,33.1,32.7,27.8,43.0
Q9NQI0,Probable ATP-dependent RNA helicase DDX4 OS=Homo sapiens OX=9606 GN=DDX4 PE=1 SV=2,2,2,11,724,113.1,70.6,63.5,55.2,81.9,94.0,71.3,95.1,47.3,98.7,57.7,27.8,59.5,39.4,33.0,41.1,39.5,45.9,25.0,59.4
P46934,E3 ubiquitin-protein ligase NEDD4 OS=Homo sapiens OX=9606 GN=NEDD4 PE=1 SV=4,3,2,7,1319,6.4,5.5,17.1,13.2,7.4,12.5,12.8,11.2,7.5,8.5,,,,,,,,,,
P35558,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] OS=Homo sapiens OX=9606 GN=PCK1 PE=1 SV=3",9,5,26,622,87.9,55.5,132.4,147.5,117.5,118.6,96.3,256.7,164.2,269.0,74.3,95.0,219.7,125.9,129.6,114.4,214.4,101.2,88.9,137.2
P62304,Small nuclear ribonucleoprotein E OS=Homo sapiens OX=9606 GN=SNRPE PE=1 SV=1,25,2,4,92,31.9,18.4,38.3,38.9,37.2,31.4,36.1,27.1,35.1,27.5,16.4,17.5,28.9,17.6,20.3,20.6,15.8,16.3,15.0,24.8
Q8N8N7,Prostaglandin reductase 2 OS=Homo sapiens OX=9606 GN=PTGR2 PE=1 SV=1,6,2,4,351,22.3,12.9,22.6,27.9,28.6,26.2,31.3,21.5,25.5,23.7,29.9,30.4,51.7,36.8,42.3,42.1,33.9,32.2,28.7,44.5
P16278,Beta-galactosidase OS=Homo sapiens OX=9606 GN=GLB1 PE=1 SV=2,4,2,4,677,33.0,19.0,53.1,33.9,29.2,36.2,26.7,25.5,36.0,25.1,22.0,15.0,24.7,24.4,22.6,27.5,23.0,24.7,21.6,27.3
P16219,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADS PE=1 SV=1",24,6,70,412,253.9,145.1,209.7,247.2,211.3,225.9,212.3,179.7,213.3,197.2,169.5,153.6,204.3,189.0,206.2,187.8,133.1,156.5,124.2,217.3
P06732,Creatine kinase M-type OS=Homo sapiens OX=9606 GN=CKM PE=1 SV=2,9,3,25,381,20.5,7.5,35.5,25.0,53.9,71.1,45.5,261.3,20.1,266.7,7.0,15.4,30.1,29.5,77.4,43.6,600.6,81.9,57.8,114.0
P51452,Dual specificity protein phosphatase 3 OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1,17,2,6,185,46.6,36.4,61.0,67.5,48.6,55.1,53.9,41.3,45.3,42.6,150.9,144.6,285.4,179.9,215.7,221.2,167.3,165.6,140.3,242.4
Q13057,Bifunctional coenzyme A synthase OS=Homo sapiens OX=9606 GN=COASY PE=1 SV=4,3,2,6,564,127.3,67.1,150.1,143.8,132.2,131.7,114.8,99.6,107.6,120.6,95.2,97.2,129.4,103.7,126.5,102.8,69.7,93.5,71.5,122.6
O60716,Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1,18,12,35,968,63.3,42.7,86.7,93.4,82.3,85.2,81.2,59.5,74.9,61.1,84.2,66.8,130.4,88.2,98.7,90.3,94.4,76.9,62.7,101.7
P42566,Epidermal growth factor receptor substrate 15 OS=Homo sapiens OX=9606 GN=EPS15 PE=1 SV=2,2,2,5,896,23.2,18.2,23.6,30.5,19.8,27.8,23.8,18.7,20.2,19.9,54.8,50.4,101.9,72.8,71.6,70.3,52.6,57.7,45.1,86.5
Q9BV20,Methylthioribose-1-phosphate isomerase OS=Homo sapiens OX=9606 GN=MRI1 PE=1 SV=1,14,4,8,369,39.3,25.6,314.8,379.4,212.1,172.2,240.1,91.3,352.1,130.0,40.5,37.5,45.0,38.5,48.8,44.8,38.8,36.0,28.7,53.7
Q13618,Cullin-3 OS=Homo sapiens OX=9606 GN=CUL3 PE=1 SV=2,7,7,10,768,43.5,27.5,40.6,50.5,43.8,46.5,40.3,35.0,38.5,42.2,53.1,46.0,86.9,66.9,68.2,63.9,53.1,60.8,41.1,79.0
Q8TDX7,Serine/threonine-protein kinase Nek7 OS=Homo sapiens OX=9606 GN=NEK7 PE=1 SV=1,9,2,4,302,67.9,36.4,55.4,58.3,61.9,68.4,60.6,50.4,53.4,52.5,51.3,52.8,67.7,48.9,57.6,56.0,46.5,61.4,31.2,69.9
P61006,Ras-related protein Rab-8A OS=Homo sapiens OX=9606 GN=RAB8A PE=1 SV=1,12,2,8,207,,,,,,,,,,,25.8,20.0,19.4,19.8,22.1,19.1,19.8,13.5,15.4,19.0
P18077,60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2,15,2,26,110,62.5,44.6,53.2,85.6,55.6,53.9,73.1,54.8,51.0,46.8,66.7,75.8,83.8,72.5,91.4,67.3,64.5,62.8,69.8,101.2
O43314,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 OS=Homo sapiens OX=9606 GN=PPIP5K2 PE=1 SV=3,2,2,3,1243,6.9,7.6,15.0,18.1,19.1,11.9,15.6,10.5,9.3,8.9,60.8,51.8,95.4,72.9,78.0,86.5,58.4,62.5,62.6,95.2
Q04828,Aldo-keto reductase family 1 member C1 OS=Homo sapiens OX=9606 GN=AKR1C1 PE=1 SV=1,10,4,24,323,118.0,76.5,115.6,125.6,110.8,135.1,121.5,105.0,135.9,132.0,98.1,85.0,129.1,99.3,135.7,131.8,97.0,108.6,86.8,132.6
P07205,Phosphoglycerate kinase 2 OS=Homo sapiens OX=9606 GN=PGK2 PE=1 SV=3,6,2,26,417,10.0,7.7,29.2,32.2,20.2,18.3,18.7,9.9,21.0,12.0,12.3,11.2,31.7,16.6,27.8,27.5,18.8,17.5,17.7,22.4
P51665,26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMD7 PE=1 SV=2,17,3,24,324,26.1,15.5,39.7,32.4,28.7,31.5,29.8,24.1,28.2,23.9,16.2,16.4,32.5,24.0,27.6,25.1,22.2,19.4,18.9,33.0
O15371,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,17,6,23,548,39.6,32.3,43.9,50.6,39.6,45.5,50.5,36.6,46.7,39.9,22.4,22.0,43.8,25.4,28.5,28.5,23.9,23.9,24.1,36.7
O75044,SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=SRGAP2 PE=1 SV=3,2,2,2,1071,13.7,8.7,15.8,13.7,13.6,10.4,10.0,9.2,14.1,13.2,,,,,,,,,,
O94903,Pyridoxal phosphate homeostasis protein OS=Homo sapiens OX=9606 GN=PLPBP PE=1 SV=1,9,3,8,275,106.4,60.2,108.5,121.4,110.3,127.7,127.2,103.3,124.4,95.7,98.5,85.0,126.3,107.7,100.2,105.8,87.8,102.4,85.3,115.1
Q8N122,Regulatory-associated protein of mTOR OS=Homo sapiens OX=9606 GN=RPTOR PE=1 SV=1,2,3,4,1335,33.4,16.5,31.7,33.5,30.2,27.8,32.5,25.3,30.5,30.2,,,,,,,,,,
P36578,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,12,4,19,427,30.8,21.7,31.3,41.1,24.8,30.4,26.5,20.1,21.9,20.0,36.8,37.1,38.8,38.2,40.5,42.1,24.6,32.7,28.0,41.3
P17987,T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1,12,6,21,556,29.2,14.2,20.5,22.8,21.4,28.2,27.5,22.7,22.7,24.7,82.6,64.8,97.3,67.2,73.5,85.8,51.8,68.3,114.4,110.8
P16157,Ankyrin-1 OS=Homo sapiens OX=9606 GN=ANK1 PE=1 SV=3,8,10,21,1881,97.8,59.6,80.9,74.5,42.0,66.1,68.6,75.4,50.8,65.9,104.0,83.5,83.0,127.0,92.0,80.3,62.5,86.6,48.2,106.5
P00480,"Ornithine transcarbamylase, mitochondrial OS=Homo sapiens OX=9606 GN=OTC PE=1 SV=3",11,3,10,354,96.6,55.6,84.1,98.6,87.6,123.3,96.1,82.2,95.6,97.6,170.4,160.1,178.1,160.6,174.7,168.8,94.5,123.1,128.6,206.8
Q9UI12,V-type proton ATPase subunit H OS=Homo sapiens OX=9606 GN=ATP6V1H PE=1 SV=1,6,2,4,483,14.1,11.2,26.9,18.6,15.2,15.5,19.9,15.1,18.9,14.3,19.7,17.3,33.0,19.4,20.7,19.8,16.8,20.8,11.7,24.2
Q9UBQ5,Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1,13,3,6,218,46.8,10.3,54.6,29.5,51.8,55.8,59.6,34.4,60.4,44.0,36.2,24.1,56.6,35.3,40.9,40.9,30.3,39.9,29.9,47.7
Q16696,Cytochrome P450 2A13 OS=Homo sapiens OX=9606 GN=CYP2A13 PE=1 SV=3,14,7,28,494,76.5,37.3,39.7,117.9,48.2,137.0,78.2,57.1,42.7,108.4,106.7,92.0,138.7,136.5,114.8,112.1,83.9,95.5,63.5,128.2
P27338,Amine oxidase [flavin-containing] B OS=Homo sapiens OX=9606 GN=MAOB PE=1 SV=3,5,2,20,520,186.1,99.0,147.6,243.8,142.3,193.7,193.2,149.3,153.3,148.1,69.8,63.8,116.5,81.2,71.0,65.9,50.3,76.4,35.9,79.7
Q99538,Legumain OS=Homo sapiens OX=9606 GN=LGMN PE=1 SV=1,8,2,10,433,,,,,,,,,,,44.7,45.9,75.1,41.1,44.7,72.6,37.3,38.9,53.7,104.9
Q86UE4,Protein LYRIC OS=Homo sapiens OX=9606 GN=MTDH PE=1 SV=2,4,2,5,582,,,,,,,,,,,54.9,60.2,81.6,73.8,55.9,67.0,46.5,57.1,46.2,71.2
P62269,40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,24,4,15,152,132.4,92.4,148.0,151.5,127.3,150.0,125.9,105.1,110.8,101.0,74.3,73.5,119.0,88.9,92.8,85.9,67.0,73.1,68.8,108.0
Q9BYT8,"Neurolysin, mitochondrial OS=Homo sapiens OX=9606 GN=NLN PE=1 SV=1",4,2,3,704,32.8,21.2,33.0,32.3,31.9,40.1,33.3,26.0,32.2,25.5,18.7,18.5,14.1,15.3,21.7,19.1,13.7,7.1,14.8,20.1
P49757,Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=2,4,3,5,651,125.4,69.6,142.9,142.2,124.8,137.2,122.4,136.6,118.7,160.5,92.6,87.8,141.0,122.1,138.5,123.4,93.3,118.8,88.9,144.3
Q9UBJ2,ATP-binding cassette sub-family D member 2 OS=Homo sapiens OX=9606 GN=ABCD2 PE=1 SV=1,6,4,5,740,121.4,52.4,57.6,149.5,93.1,142.3,145.6,103.2,83.8,106.9,21.8,31.4,80.7,43.6,31.1,33.0,29.9,36.7,17.0,36.2
P43155,Carnitine O-acetyltransferase OS=Homo sapiens OX=9606 GN=CRAT PE=1 SV=5,3,2,3,626,37.4,16.8,19.6,29.6,39.8,39.9,34.9,30.9,31.2,37.5,35.9,40.8,47.9,46.9,49.6,49.9,47.8,42.1,40.6,58.3
Q5JWF2,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Homo sapiens OX=9606 GN=GNAS PE=1 SV=2,5,4,21,1037,23.3,14.3,21.0,32.3,25.3,28.1,28.4,22.2,25.2,24.6,25.1,20.0,32.7,25.7,25.6,32.2,23.7,25.3,14.9,32.3
Q2KHT3,Protein CLEC16A OS=Homo sapiens OX=9606 GN=CLEC16A PE=1 SV=2,1,2,5,1053,45.3,25.6,34.0,35.2,35.8,35.8,37.6,34.9,35.5,31.7,72.9,71.6,82.7,75.8,86.6,83.0,58.3,68.6,62.3,88.5
Q9Y4W6,AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2,5,4,14,797,87.3,53.6,50.7,116.6,67.5,89.8,85.7,64.1,64.9,65.9,170.1,170.5,263.7,235.7,190.2,199.5,152.0,189.4,114.1,246.8
P16435,NADPH--cytochrome P450 reductase OS=Homo sapiens OX=9606 GN=POR PE=1 SV=2,15,9,33,677,65.7,35.5,36.7,113.3,52.5,70.0,63.3,48.0,47.2,62.1,67.0,35.5,86.5,57.8,59.3,47.9,58.4,60.8,33.6,75.0
Q9Y5L0,Transportin-3 OS=Homo sapiens OX=9606 GN=TNPO3 PE=1 SV=3,3,2,3,923,,,,,,,,,,,31.8,32.4,32.5,27.9,28.0,27.2,19.6,22.5,17.6,44.6
O95834,Echinoderm microtubule-associated protein-like 2 OS=Homo sapiens OX=9606 GN=EML2 PE=1 SV=1,4,2,4,649,35.8,18.8,16.3,26.3,29.7,59.7,14.5,22.8,24.4,59.5,22.8,19.2,35.4,24.2,25.8,24.3,33.4,19.8,24.7,33.8
P00367,"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1 PE=1 SV=2",18,9,201,558,538.6,320.6,565.4,670.8,468.4,485.3,453.7,398.8,414.7,390.2,366.3,346.5,364.8,388.0,450.5,392.8,268.1,327.4,274.7,504.7
Q8WXF1,Paraspeckle component 1 OS=Homo sapiens OX=9606 GN=PSPC1 PE=1 SV=1,4,2,3,523,42.7,26.4,54.3,49.3,49.3,51.3,51.7,41.1,56.3,56.2,87.4,69.6,134.8,106.6,113.0,128.0,85.3,92.0,87.6,123.2
Q68D91,Acyl-coenzyme A thioesterase MBLAC2 OS=Homo sapiens OX=9606 GN=MBLAC2 PE=1 SV=3,8,2,5,279,113.3,79.0,61.9,192.1,58.0,106.9,100.1,84.3,63.7,82.7,100.7,94.2,198.0,127.7,125.2,121.0,101.3,116.2,81.9,149.9
P01024,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2,2,2,10,1663,24.8,15.6,33.6,28.4,24.1,22.7,24.3,23.5,24.0,25.1,19.9,16.6,26.5,14.9,20.2,15.1,13.2,15.6,13.4,21.0
P11413,Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4,12,6,11,515,102.6,69.6,94.0,124.6,71.6,107.7,121.5,88.4,83.1,93.9,60.6,49.8,39.7,38.9,39.0,45.9,30.0,41.0,23.3,52.2
Q00266,S-adenosylmethionine synthase isoform type-1 OS=Homo sapiens OX=9606 GN=MAT1A PE=1 SV=2,22,6,120,395,125.7,73.1,109.4,154.3,102.7,121.8,138.1,109.9,102.2,103.6,144.9,149.9,253.0,194.4,204.2,184.1,184.7,173.3,142.2,204.2
P37235,Hippocalcin-like protein 1 OS=Homo sapiens OX=9606 GN=HPCAL1 PE=1 SV=3,16,3,4,193,233.0,149.1,278.5,310.3,253.0,276.0,248.6,212.5,222.7,218.8,25.6,15.9,23.4,21.4,17.1,23.0,15.8,21.6,14.7,22.2
O00505,Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2,4,2,6,521,,,,,,,,,,,105.6,100.9,156.9,109.6,143.7,134.3,184.2,112.7,98.1,157.1
Q13608,Peroxisomal ATPase PEX6 OS=Homo sapiens OX=9606 GN=PEX6 PE=1 SV=2,3,2,4,980,12.5,7.9,19.3,18.4,18.2,15.0,16.6,12.9,11.3,16.8,13.9,14.7,23.8,19.4,21.5,19.2,18.9,17.1,14.3,19.4
Q96AG4,Leucine-rich repeat-containing protein 59 OS=Homo sapiens OX=9606 GN=LRRC59 PE=1 SV=1,6,2,5,307,158.1,88.9,113.7,263.0,93.0,160.8,166.8,128.5,73.4,112.6,84.0,84.2,135.7,112.7,88.2,104.4,57.7,95.7,45.7,103.5
P54868,"Hydroxymethylglutaryl-CoA synthase, mitochondrial OS=Homo sapiens OX=9606 GN=HMGCS2 PE=1 SV=1",17,6,77,508,121.9,78.2,86.4,128.8,159.9,118.0,115.0,103.6,125.9,111.8,170.7,199.9,208.6,248.8,238.1,237.7,144.9,199.1,176.7,261.8
P53582,Methionine aminopeptidase 1 OS=Homo sapiens OX=9606 GN=METAP1 PE=1 SV=2,18,4,24,386,24.8,16.6,25.0,28.0,24.7,21.5,29.0,18.5,22.8,22.2,33.8,29.5,58.1,37.7,44.1,39.5,31.2,30.4,30.5,45.1
Q12955,Ankyrin-3 OS=Homo sapiens OX=9606 GN=ANK3 PE=1 SV=3,1,4,6,4377,18.9,10.3,14.9,24.1,13.5,19.2,19.8,17.6,18.8,21.3,29.4,25.2,57.4,39.5,35.5,42.8,40.7,30.3,22.2,38.7
Q9UBQ7,Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens OX=9606 GN=GRHPR PE=1 SV=1,7,2,13,328,238.2,160.4,244.2,281.1,231.4,247.3,241.5,197.8,271.0,251.5,192.6,156.1,254.8,191.5,237.1,250.8,159.2,178.1,170.9,252.8
Q13424,Alpha-1-syntrophin OS=Homo sapiens OX=9606 GN=SNTA1 PE=1 SV=1,9,4,7,505,32.6,20.0,44.7,37.4,35.9,31.9,40.3,31.5,40.6,32.4,25.6,23.7,38.3,30.1,37.6,37.1,63.3,28.7,24.6,44.8
P36543,V-type proton ATPase subunit E 1 OS=Homo sapiens OX=9606 GN=ATP6V1E1 PE=1 SV=1,24,4,6,226,100.0,64.3,117.4,115.9,107.6,112.4,118.8,81.8,97.0,97.5,23.0,20.1,42.7,24.6,31.7,28.2,17.9,23.9,20.8,27.7
P09525,Annexin A4 OS=Homo sapiens OX=9606 GN=ANXA4 PE=1 SV=4,14,4,15,319,110.3,51.6,73.6,78.6,74.6,89.8,80.0,74.5,88.6,76.4,48.4,42.1,32.4,30.1,38.0,38.4,29.2,37.4,42.6,55.3
P49459,Ubiquitin-conjugating enzyme E2 A OS=Homo sapiens OX=9606 GN=UBE2A PE=1 SV=2,20,2,3,152,16.4,9.0,13.8,18.2,19.7,14.3,15.8,11.2,14.9,12.5,,,,,,,,,,
Q9UKU7,"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAD8 PE=1 SV=1",13,5,16,415,67.2,49.1,70.7,83.7,58.5,57.6,55.3,48.6,63.4,55.2,104.4,85.1,140.7,121.5,141.8,137.2,86.0,100.0,113.6,138.3
P52888,Thimet oligopeptidase OS=Homo sapiens OX=9606 GN=THOP1 PE=1 SV=2,3,2,3,689,91.2,66.9,89.4,78.1,78.9,95.1,100.2,79.2,87.5,84.0,48.3,42.5,52.3,42.3,36.8,32.7,42.9,29.6,21.9,49.8
P14735,Insulin-degrading enzyme OS=Homo sapiens OX=9606 GN=IDE PE=1 SV=4,6,7,13,1019,59.5,34.5,51.2,67.6,50.7,63.6,64.0,37.0,31.5,42.5,86.1,67.2,125.3,95.8,109.2,78.1,68.3,66.3,39.6,87.5
Q8N335,Glycerol-3-phosphate dehydrogenase 1-like protein OS=Homo sapiens OX=9606 GN=GPD1L PE=1 SV=1,15,5,10,351,20.0,14.9,27.1,27.7,22.5,28.3,28.3,17.6,24.8,25.3,38.5,42.8,55.1,47.7,50.9,54.2,48.2,42.2,36.8,56.3
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=NHERF1 PE=1 SV=4,8,3,7,358,64.9,44.0,81.4,84.3,76.7,70.7,82.0,68.2,71.5,72.5,79.5,76.7,102.1,78.5,101.2,86.2,96.8,73.4,69.4,110.2
P42765,"3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens OX=9606 GN=ACAA2 PE=1 SV=2",7,3,14,397,50.5,32.2,38.0,49.6,44.3,55.3,44.2,33.1,56.3,47.1,39.9,41.4,52.3,44.7,60.5,38.5,43.5,44.7,41.0,61.6
P00441,Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2,11,3,14,154,106.3,59.5,123.3,116.5,108.1,118.5,118.3,98.5,112.1,96.6,90.3,83.4,122.7,108.3,97.1,120.0,99.5,116.3,86.5,140.0
Q13683,Integrin alpha-7 OS=Homo sapiens OX=9606 GN=ITGA7 PE=1 SV=3,2,3,13,1181,55.0,39.6,50.0,66.5,34.9,60.4,59.6,45.8,42.3,51.6,51.1,62.7,45.5,60.0,62.2,60.3,45.9,47.8,33.3,79.7
Q9Y5K5,Ubiquitin carboxyl-terminal hydrolase isozyme L5 OS=Homo sapiens OX=9606 GN=UCHL5 PE=1 SV=3,14,4,13,329,39.0,22.8,45.2,46.9,34.6,41.3,40.6,32.5,37.4,33.1,66.3,54.3,86.5,58.2,82.6,66.0,49.4,64.7,42.4,77.4
P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADSB PE=1 SV=1",4,2,7,432,97.9,55.2,57.1,67.1,59.4,71.1,69.3,73.5,66.1,78.3,70.8,55.6,69.7,56.2,54.0,59.0,44.3,54.6,43.3,83.4
P00533,Epidermal growth factor receptor OS=Homo sapiens OX=9606 GN=EGFR PE=1 SV=2,4,4,10,1210,31.5,25.2,44.6,37.9,26.0,31.7,26.9,20.3,27.6,25.9,29.6,16.1,34.3,19.8,25.8,34.5,16.3,26.5,26.9,41.0
P62753,40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1,11,3,12,249,106.4,76.4,113.6,137.2,94.5,119.1,97.5,89.2,87.2,89.4,94.0,92.0,111.6,100.0,101.8,87.2,60.0,83.6,66.3,124.8
Q9UHD9,Ubiquilin-2 OS=Homo sapiens OX=9606 GN=UBQLN2 PE=1 SV=2,11,5,14,624,25.4,17.3,29.4,27.3,26.3,28.1,26.8,22.6,31.3,21.2,,,,,,,,,,
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,2,4,5,2376,44.6,22.8,51.8,48.7,55.1,49.6,57.0,38.8,44.4,46.9,86.3,79.3,176.8,110.9,126.3,104.9,100.0,95.0,81.6,123.0
O75533,Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,7,6,11,1304,19.8,11.3,24.6,29.9,20.4,27.1,28.2,15.5,20.4,21.2,19.6,17.6,36.0,20.5,25.2,26.1,15.2,17.5,18.9,28.5
Q7RTP6,[F-actin]-monooxygenase MICAL3 OS=Homo sapiens OX=9606 GN=MICAL3 PE=1 SV=2,1,2,4,2002,101.7,80.1,160.7,120.2,120.7,81.5,88.7,82.7,91.9,81.8,97.4,85.2,259.6,127.3,139.6,98.2,101.1,105.5,93.3,137.7
P20648,Potassium-transporting ATPase alpha chain 1 OS=Homo sapiens OX=9606 GN=ATP4A PE=1 SV=5,2,2,9,1035,13.1,16.8,22.8,30.5,32.2,24.4,27.5,20.4,27.4,25.9,33.0,28.2,43.8,50.5,36.0,49.3,30.5,45.6,30.6,57.2
O14737,Programmed cell death protein 5 OS=Homo sapiens OX=9606 GN=PDCD5 PE=1 SV=3,19,2,6,125,38.9,18.5,22.2,23.0,26.4,22.1,23.2,22.8,24.3,33.7,32.4,24.2,31.5,33.2,27.4,32.5,25.7,27.2,22.8,36.0
P15104,Glutamine synthetase OS=Homo sapiens OX=9606 GN=GLUL PE=1 SV=4,10,4,51,373,181.9,103.9,194.4,207.6,203.7,202.7,204.7,158.9,188.1,158.2,80.3,62.2,98.2,105.3,100.1,127.0,79.3,89.7,83.5,117.7
P30041,Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3,24,5,50,224,114.4,73.4,98.7,141.5,120.8,172.5,135.5,94.6,105.5,159.0,191.8,168.1,205.7,197.6,185.4,199.7,177.1,170.2,140.0,211.1
Q15149,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,12,47,111,4684,159.3,92.4,191.4,186.6,155.0,181.5,189.8,142.9,161.0,159.4,141.5,126.9,226.1,144.9,185.7,185.7,258.8,158.1,131.1,203.0
P53004,Biliverdin reductase A OS=Homo sapiens OX=9606 GN=BLVRA PE=1 SV=2,7,2,4,296,142.5,79.6,141.6,162.6,123.0,149.9,141.0,112.7,129.0,125.2,35.5,28.6,49.4,27.0,34.1,33.4,26.3,25.1,26.0,53.3
Q5EBM0,"UMP-CMP kinase 2, mitochondrial OS=Homo sapiens OX=9606 GN=CMPK2 PE=1 SV=3",5,2,4,449,6.9,7.4,9.0,28.9,9.5,11.0,16.2,8.4,7.9,14.6,,,,,,,,,,
P12111,Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5,2,5,14,3177,39.4,21.5,16.8,56.1,35.4,29.5,49.8,40.2,45.6,50.0,65.3,53.8,137.3,51.4,48.8,81.7,88.9,57.1,47.4,74.2
Q8WZ42,Titin OS=Homo sapiens OX=9606 GN=TTN PE=1 SV=4,2,46,57,34350,36.5,24.6,35.2,33.1,33.7,43.9,43.4,139.2,38.6,138.6,25.2,31.5,47.2,30.5,47.2,37.1,549.3,89.4,48.7,107.1
Q63ZY3,KN motif and ankyrin repeat domain-containing protein 2 OS=Homo sapiens OX=9606 GN=KANK2 PE=1 SV=1,5,3,4,851,58.8,41.4,57.3,53.2,33.5,37.9,54.3,44.6,48.7,42.4,16.9,16.2,20.7,19.9,17.6,16.2,14.6,10.7,19.2,19.3
P68402,Platelet-activating factor acetylhydrolase IB subunit alpha2 OS=Homo sapiens OX=9606 GN=PAFAH1B2 PE=1 SV=1,12,2,5,229,104.1,46.6,94.7,84.5,77.4,95.9,92.4,67.7,87.3,75.3,53.0,48.0,73.1,55.9,65.2,74.0,55.1,54.5,47.5,71.4
Q9Y6W5,Actin-binding protein WASF2 OS=Homo sapiens OX=9606 GN=WASF2 PE=1 SV=3,6,3,6,498,83.4,34.4,92.4,94.0,91.8,97.2,94.5,69.0,75.5,76.6,11.2,9.6,18.3,15.0,12.8,17.3,12.5,9.9,9.2,16.6
Q01970,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Homo sapiens OX=9606 GN=PLCB3 PE=1 SV=2",1,2,2,1234,,,,,,,,,,,50.2,30.9,32.6,62.0,35.7,48.9,54.3,40.9,39.7,57.4
P26440,"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=IVD PE=1 SV=2",19,6,31,426,48.5,23.3,46.0,54.3,43.5,51.3,48.3,39.2,47.4,42.4,84.3,69.3,84.0,83.0,84.7,79.4,65.5,71.5,57.9,98.1
Q9NYQ7,Cadherin EGF LAG seven-pass G-type receptor 3 OS=Homo sapiens OX=9606 GN=CELSR3 PE=1 SV=2,0,2,6,3312,148.6,106.8,180.6,199.5,162.9,167.0,148.8,136.6,127.9,145.3,174.4,167.3,294.7,210.4,237.4,224.9,179.9,206.2,148.0,244.1
